SOC,Voltage
0.256747889,4.2935653
0.25950522,4.2768621
0.262262564,4.264701799999999
0.265019894,4.254031200000001
0.26777722600000003,4.244944599999999
0.270534562,4.2364879
0.273291894,4.2302647
0.276049235,4.2225528
0.278806571,4.2182574
0.281563917,4.213294
0.284321266,4.2090373
0.287078597,4.2051239
0.289835942,4.201267700000001
0.292593285,4.1981564
0.295350629,4.1955218
0.298107972,4.1931167
0.300865306,4.1889744
0.303622637,4.1881533
0.30637997899999997,4.1865883
0.30913731,4.1850228
0.31189463,4.1832285
0.314651974,4.1808805
0.317409313,4.1805749
0.320166644,4.1789522
0.322923976,4.1768146
0.325681308,4.1768146
0.328438646,4.1752872000000005
0.33119598,4.1731110000000005
0.333953332,4.1726718
0.33671067,4.1710877
0.339468004,4.1702285
0.34222535200000004,4.1687970000000005
0.344982695,4.1669830999999995
0.347740027,4.1655135
0.35049736600000003,4.1634517
0.353254704,4.1598248
0.35601204399999997,4.1571712
0.35876937200000003,4.154079
0.36152670299999995,4.1504135
0.36428404299999995,4.1466532
0.367041396,4.1423388
0.369798733,4.1382346
0.372556076,4.1338248
0.375313413,4.1305799
0.37807074700000004,4.1272392
0.38082807799999996,4.1228104
0.383585424,4.118610899999999
0.386342759,4.114182
0.389100096,4.1096005
0.391857422,4.1046948
0.39461475700000004,4.1004758
0.39737209999999995,4.0956464
0.400129433,4.0909696
0.402886764,4.0864644
0.40564410799999995,4.0818448
0.408401443,4.077683
0.41115877799999995,4.0733309
0.41391611799999994,4.0690737
0.41667345899999997,4.0647216
0.419430804,4.0608654
0.42218814600000004,4.0564747
0.42494548200000004,4.0527525
0.427702825,4.0492401
0.43046016200000004,4.0450211000000005
0.433217505,4.041986
0.435974844,4.0384736000000006
0.43873219399999996,4.035171
0.44148953,4.0320406
0.44424686799999996,4.0289288
0.44700422700000003,4.02597
0.44976157,4.0227437
0.452518903,4.019975700000001
0.45527623799999994,4.0175133
0.458033587,4.0149745999999995
0.460790918,4.0122066
0.46354825,4.0099540000000005
0.466305586,4.0075679
0.469062927,4.0050669
0.471820264,4.0023184
0.474577588,3.9995501000000004
0.47733492200000005,3.9969349000000003
0.48009226,3.9926589
0.482849596,3.9889555
0.48560693200000005,3.9834002999999996
0.488364257,3.9783037000000006
0.49112159,3.9755928999999997
0.493878924,3.9707632000000004
0.49663625899999997,3.9681097999999997
0.49939359,3.9635665
0.502150919,3.9594432999999998
0.5049082460000001,3.9556633999999997
0.5076655760000001,3.9521511
0.5104228989999999,3.9479132000000003
0.51318023,3.9438281
0.515937551,3.9400866000000003
0.518694885,3.9362303999999995
0.521452214,3.9314201
0.524209547,3.9283848
0.52696688,3.9242232000000006
0.529724206,3.9192028
0.532481534,3.9166257000000004
0.535238869,3.9117961
0.537996203,3.90815
0.5407535370000001,3.9038739000000002
0.543510874,3.8995597
0.546268202,3.8959135999999996
0.549025522,3.8909314
0.551782842,3.8872662000000004
0.554540177,3.8831047999999995
0.557297513,3.8793442000000002
0.560054859,3.8747627999999996
0.5628121939999999,3.8702576
0.565569517,3.8666878
0.568326848,3.8623927000000005
0.57108418,3.8581741000000003
0.573841513,3.854146
0.576598846,3.8499846
0.57935617,3.8450022000000006
0.5821134920000001,3.8422534
0.584870813,3.8380919000000002
0.587628135,3.8341595999999996
0.590385461,3.8309333
0.593142788,3.8272109
0.595900129,3.823164
0.598657462,3.8192315000000003
0.601414798,3.8159864000000003
0.604172137,3.8123021
0.606929477,3.8090379
0.6096868089999999,3.8071671
0.6124441429999999,3.8040555
0.615201476,3.8013638999999997
0.617958818,3.7970879
0.620716159,3.7953317
0.623473488,3.7920672999999994
0.626230824,3.788383
0.628988154,3.7855388999999997
0.631745486,3.7838206
0.6345028229999999,3.78111
0.637260165,3.7794874
0.640017505,3.7769294
0.642774845,3.7736080000000003
0.645532191,3.7695992
0.6482895329999999,3.7690265
0.6510468660000001,3.7662776
0.6538042,3.7642922
0.656561538,3.7626888999999997
0.659318868,3.7603790999999998
0.6620762139999999,3.7575538
0.664833552,3.7552056000000005
0.667590888,3.7533159
0.6703482270000001,3.7507197999999997
0.673105572,3.7487535000000003
0.675862913,3.7471498999999997
0.6786202570000001,3.7442865
0.6813775879999999,3.7423012000000004
0.68413492,3.7400677000000004
0.686892265,3.7385788
0.6896495970000001,3.7345318999999995
0.6924069279999999,3.7339211000000003
0.6951642579999999,3.7301605
0.697921586,3.7301032999999997
0.7006789259999999,3.7278316
0.7034362590000001,3.7251589
0.706193599,3.723861
0.70895094,3.7215703
0.711708275,3.7191267
0.714465602,3.7172751
0.717222941,3.7157097
0.719980278,3.7130945
0.7227376109999999,3.7099447
0.7254949479999999,3.7071004000000003
0.728252274,3.7045614999999996
0.731009597,3.703588
0.7337669290000001,3.7020800000000005
0.736524263,3.7002664
0.7392816059999999,3.6972122000000005
0.7420389490000001,3.6952841
0.7447962779999999,3.6929362
0.747553609,3.6898055
0.75031094,3.6890991
0.753068269,3.686522
0.755825607,3.6849759
0.7585829409999999,3.6821697
0.7613402779999999,3.6808142999999998
0.764097617,3.6786573
0.7668549440000001,3.6761947
0.7696122740000001,3.6747629999999996
0.772369613,3.6712887000000003
0.775126944,3.6697233
0.777884274,3.6678907999999995
0.7806416140000001,3.6652565000000004
0.7833989440000001,3.6630611000000006
0.7861562679999999,3.660274
0.788913595,3.6583652
0.791670942,3.6554828
0.794428272,3.6522949000000002
0.797185593,3.6499848
0.7999429240000001,3.6470451
0.802700248,3.6405547
0.8054575829999999,3.6383405
0.8082149120000001,3.635076
0.8109722429999999,3.633549
